id,split,text,estimated_V,estimated_A,estimated_D,calculated_V,calculated_A,calculated_D
110CYL068_1036_1079,train,"Remember what she said in my last letter? """,0.0,0.0,0.1,0.102,-0.2565,-0.2035
110CYL068_1079_1110,test,If I wasn't working here.,-0.1,0.05,-0.1,0.2393,0.0567,0.0983
110CYL068_1127_1130,train,"..""",0.0,0.0,0.0,,,
110CYL068_1137_1188,train,Goodwill helps people get off of public assistance.,0.22,0.0,0.11,0.223,-0.095,0.077
110CYL068_1189_1328,train,Sherry learned through our Future Works class that she could rise out of the mire of the welfare system and support her family.,0.275,0.135,0.23,0.2409,-0.092,0.1062
110CYL068_1475_1558,train,Coming to Goodwill was the first step toward my becoming totally independent.,0.3,0.15,0.4,0.3902,-0.1234,0.25
110CYL068_1559_1601,train,"I am now... totally off of welfare.""",0.0,0.0,0.05,0.1892,-0.2028,0.1212
110CYL068_1608_1658,train,Goodwill prepares people for life-long employment.,0.05,0.05,0.05,0.425,-0.1628,0.1608
110CYL068_163_275,train,"Here's another story of success from what might seem like an unlikely source: Goodwill's controller, Juli.",0.125,-0.06,0.0,0.135,0.0675,0.2774
110CYL068_1659_1810,train,Cornell found a number of employment options that he never dreamed existed after a work-site injury forced him out of his job at a foundry.,0.125,0.0,0.125,0.0548,-0.0181,0.0147
110CYL068_1811_1946,dev,"He trained in desktop publishing and combined his enthusiastic work ethic with new-found skills in a burgeoning industry. """,0.125,-0.06,0.06,0.4292,0.0572,0.26
110CYL068_18_24,train,"Dear ,",0.0,-0.19,0.0,0.76,-0.132,0.258
110CYL068_1946_1997,test,"I've got more than a job; I've got a career.""",0.135,0.18,0.18,0.212,0.3384,0.1692
110CYL068_2040_2141,train,"After a lifetime of trials, Donna not only earned her GED at Goodwill, she earned a job here. """,0.285,0.145,0.145,0.2692,-0.0475,0.0949
110CYL068_2141_2194,train,I rode a bike to Goodwill in the rain and snow.,-0.06,0.0,0.125,0.2443,-0.0253,-0.0623
110CYL068_2195_2216,train,I wanted to be there.,-0.15,0.15,-0.05,0.0,-0.048,0.017
110CYL068_2216_2266,train,"..I had my second chance to change my life.""",0.25,0.25,0.375,0.328,0.1065,0.191
110CYL068_2273_2373,train,Your gift to Goodwill will help the many people who want to tell their own stories of success.,0.315,0.125,0.185,0.3579,-0.0488,0.1454
110CYL068_2374_2413,train,Your support will help them go to work.,0.35,0.2,0.15,0.2254,0.0023,0.2227
110CYL068_2420_2501,train,Please use the enclosed envelope to give a generous gift to Goodwill today!,0.25,0.2,0.1,0.3506,-0.2486,-0.0448
110CYL068_2508_2518,train,"Sincerely,",0.07,-0.07,0.07,,,
110CYL068_2525_2582,train,"William A Carter, Chairman Goodwill Industries Foundation",0.05,-0.25,0.1,0.3385,-0.1205,0.3805
110CYL068_2589_2593,train,P.S.,0.0,-0.285,0.0,,,
110CYL068_2594_2642,train,Your gift is a wise investment in the community.,0.25,-0.065,0.125,0.4093,-0.0897,0.3083
110CYL068_2643_2750,train,"For every dollar donated to Goodwill in 1998, we helped our ""graduates"" earn an estimated $102.",0.44,0.185,0.19,0.3739,-0.0109,0.2167
110CYL068_2751_2841,train,"That money was then spent in a variety of ways, adding fuel to our thriving economy.",0.125,0.06,0.125,0.1438,-0.0129,0.1205
110CYL068_276_386,dev,"She tells me that the 3,666 people we helped find jobs in 1998 earned approximately $49 million dollars.",0.35,0.05,0.15,0.2599,0.16,0.242
110CYL068_31_156,train,A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill's help.,0.2,0.0,0.05,0.2078,-0.0205,0.0315
110CYL068_387_522,train,"In addition to that, by helping them find jobs, Goodwill reduced the state's Public Support tab by an estimated $4 million.",0.185,0.09,0.185,0.1868,-0.1239,0.1065
110CYL068_523_653,train,Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work.,0.3,-0.05,0.2,0.3175,-0.0928,0.1835
110CYL068_660_695,train,What kind of work does Goodwill do?,0.0,-0.225,-0.09,0.3308,-0.0496,0.1344
110CYL068_702_771,train,Goodwill finds jobs for people with mental and physical disabilities.,0.145,0.0,0.0,0.2234,-0.0751,0.1086
110CYL068_778_1035,train,"After Maureen's job coach taught her how to do her job in a restaurant, we helped Maureen step out of the shadow sometimes cast over people with physical and mental disabilities and find a fulfilling job smack dab in the middle of society.",0.215,0.145,0.145,0.1904,0.0229,0.123
110CYL069_1152_1284,train,"Every time we help someone find a solution to their employment barrier, the positive effects radiate throughout our community:",0.3,0.1,0.1,0.2658,0.0104,0.1514
110CYL069_1285_1401,train,"The business community welcomes not only another worker, but a consumer with increased purchasing power.",0.2,0.1,0.0,0.236,0.0615,0.2192
110CYL069_1402_1477,train,Parents act as role models of self-sufficiency instead of dependency.,0.0,-0.05,0.1,0.096,-0.2046,-0.034
110CYL069_1478_1554,train,Tax dollars that would have been spent on public assistance are saved.,0.06,0.0,0.0,0.1007,-0.184,0.0826
110CYL069_1561_1631,train,You and I know that solutions to difficult problems don't just happen.,-0.15,-0.1,0.2,0.1406,0.077,0.15
110CYL069_1638_1786,train,"At Goodwill, it is the hard work of staff and those who benefit from our services that produces the kind of inspiring results I see every day:",0.4,0.2,0.15,0.2116,-0.1368,0.0558
110CYL069_1793_1857,dev,A Goodwill staff member addresses a group of welfare recipients:,0.0,-0.19,0.06,0.3067,-0.1933,0.1253
110CYL069_1858_1935,dev,"""You can earn the money to support yourself and your family,"" she says.",0.0,-0.07,0.145,0.3636,0.0409,0.2944
110CYL069_18_35,train,"November 15, 1996",0.05,0.05,0.05,,,
110CYL069_1936_1967,train,"""You can get off welfare.",0.0,0.05,0.1,0.2287,-0.202,-0.0667
110CYL069_1968_1985,train,I know you can...,0.06,0.0,0.185,0.427,-0.279,0.158
110CYL069_1986_1993,train,"I did.""",0.05,0.05,0.1,0.0,0.667,0.0
110CYL069_2000_2165,train,A participant in a Goodwill program rushes back from a job interview to share the results with his classmates in our desktop publishing training program.,0.0,-0.07,0.07,0.2375,-0.0355,0.1263
110CYL069_207_260,train,His job objectives call for him to do it in 30.,-0.09,-0.135,0.135,0.0508,-0.0844,0.0722
